timestamp,elapsed_s,cpu_percent,cpu_freq,cpu_memory,cpu_temp,gpu_percent,gpu_memory,gpu_temp,anomaly,score,inference_latency_ms,jitter_ms,drift_detected
1771406943.651,138.6,28.3,3100.0,63.7,82.0,100.0,26.8798828125,83.0,1,0.221051,1.000,311.604,0
1771406944.336,139.3,30.2,3100.0,63.7,82.0,100.0,26.8798828125,83.0,-1,-0.251360,1.000,7.417,0
1771406945.344,140.3,17.4,3100.0,63.6,82.0,100.0,26.8798828125,83.0,-1,-0.215827,1.000,8.987,0
1771406946.491,141.5,15.7,3100.0,63.7,82.0,100.0,26.8798828125,83.0,-1,-0.345349,1.000,20.299,0
1771406947.522,142.5,12.8,3100.0,63.7,83.0,100.0,26.8798828125,83.0,1,0.129444,1.000,12.068,0
1771406948.876,143.8,26.9,3100.0,63.8,83.0,100.0,26.8798828125,84.0,1,0.325716,1.000,531.613,0
1771406949.334,144.3,15.5,3100.0,63.7,83.0,100.0,26.8798828125,84.0,-1,-0.175444,1.000,14.747,0
1771406950.338,145.3,42.6,3100.0,63.7,83.0,100.0,26.8798828125,84.0,1,0.137674,1.000,9.391,0
1771406951.309,146.3,27.4,1500.0,63.8,83.0,100.0,26.904296875,84.0,1,0.470817,1.000,8.378,0
1771406952.336,147.3,26.4,3100.0,63.8,84.0,100.0,26.904296875,84.0,1,0.245250,1.000,17.811,0
1771406953.335,148.3,13.2,3100.0,63.8,84.0,100.0,26.904296875,84.0,-1,-0.177124,1.000,3.664,0
1771406954.756,149.7,29.3,3100.0,63.9,84.0,100.0,26.904296875,84.0,1,0.251742,1.000,430.393,0
1771406955.352,150.3,31.2,3100.0,63.9,84.0,100.0,26.904296875,85.0,-1,-0.271618,1.000,6.692,0
1771406956.353,151.3,22.3,3100.0,64.1,84.0,100.0,26.8798828125,84.0,1,0.473936,1.000,6.954,0
1771406957.392,152.4,42.3,3100.0,64.1,84.0,100.0,26.8798828125,85.0,1,0.107160,1.000,8.382,0
1771406958.371,153.3,15.6,1500.0,64.0,84.0,100.0,26.8798828125,85.0,1,0.336222,1.000,27.585,0
1771406959.686,154.7,36.2,3100.0,60.9,84.0,4.0,15.380859375,73.0,-1,-0.208845,1.000,346.742,0
1771406960.368,155.3,18.1,3100.0,60.9,84.0,4.0,15.380859375,70.0,-1,-0.266590,1.000,1.970,0
1771406961.484,156.5,19.7,3100.0,61.1,84.0,6.0,15.5517578125,65.0,1,0.168042,1.000,12.870,0
1771406962.354,157.3,4.7,3100.0,61.1,84.0,6.0,15.5517578125,64.0,1,0.338901,1.000,5.055,0
1771406963.640,158.6,24.1,3100.0,61.1,84.0,2.0,15.5517578125,63.0,1,0.055437,1.000,15.286,0
1771406965.812,160.8,11.0,3100.0,61.0,84.0,0.0,15.5517578125,60.0,1,0.473810,1.000,1412.843,0
1771406966.294,161.3,6.2,3100.0,61.0,84.0,0.0,15.5517578125,60.0,1,0.037445,1.000,795.014,0
1771406966.736,161.7,18.8,3100.0,60.9,85.0,0.0,15.5517578125,60.0,1,0.194083,1.000,322.594,0
1771406967.418,162.4,14.3,3100.0,61.0,85.0,0.0,15.5517578125,59.0,1,0.475806,1.000,66.137,0
1771406968.442,163.4,12.5,3100.0,61.0,85.0,7.000000000000001,15.5517578125,59.0,1,0.321482,1.000,69.125,0
1771406969.402,164.4,13.8,3100.0,61.0,85.0,36.0,15.5517578125,59.0,-1,-0.297576,1.000,20.511,0
1771406970.562,165.5,32.2,3100.0,61.1,85.0,6.0,15.5517578125,58.0,1,0.067831,1.000,264.748,0
1771406971.350,166.3,3.6,3100.0,61.0,59.0,6.0,15.5517578125,58.0,-1,-0.405194,1.000,15.421,0
1771406972.329,167.3,4.3,3100.0,61.1,59.0,8.0,15.380859375,58.0,-1,-0.247628,1.000,13.368,0
1771406973.310,168.3,6.9,3100.0,61.1,59.0,16.0,15.380859375,57.0,-1,-0.155499,1.000,7.574,0
1771406974.321,169.3,2.9,3100.0,61.0,58.0,0.0,15.380859375,57.0,-1,-0.269241,1.000,1.782,0
1771406975.649,170.6,5.9,3100.0,61.1,58.0,0.0,15.380859375,56.0,1,0.088366,1.000,92.972,0
1771406977.617,172.6,15.1,3100.0,61.1,58.0,0.0,15.380859375,56.0,-1,-0.161953,1.000,1288.998,0
1771406978.173,173.1,50.0,3100.0,61.0,58.0,0.0,15.380859375,56.0,1,0.062606,1.000,840.075,0
1771406978.508,173.5,16.2,3100.0,61.1,58.0,0.0,15.380859375,55.0,-1,-0.224622,1.000,156.636,0
1771406979.488,174.5,11.5,3100.0,61.1,58.0,0.0,15.380859375,55.0,1,0.320902,1.000,77.285,0
1771406980.401,175.4,21.7,3100.0,61.2,58.0,0.0,15.380859375,55.0,1,0.193230,1.000,10.535,0
1771406981.330,176.3,51.6,3100.0,61.3,58.0,27.0,15.4296875,55.0,-1,-0.214630,1.000,9.566,0
1771406983.678,178.6,12.0,3100.0,61.3,58.0,0.0,15.4541015625,54.0,-1,-0.400809,1.000,1163.247,0
1771406984.367,179.3,10.3,3100.0,61.3,57.0,0.0,15.3076171875,54.0,1,0.093109,1.000,660.329,0
1771406984.693,179.7,44.9,3100.0,61.3,57.0,16.0,15.3076171875,54.0,1,0.228756,1.000,343.932,0
1771406985.662,180.6,10.7,3100.0,61.3,57.0,0.0,15.087890625,54.0,1,0.395734,1.000,11.863,0
1771406986.360,181.3,51.2,3100.0,61.3,57.0,0.0,14.990234375,54.0,1,0.356506,1.000,8.125,0
1771406988.857,183.8,13.5,3100.0,61.3,57.0,3.0,14.4775390625,53.0,-1,-0.183154,1.000,1273.108,0
1771406989.517,184.5,7.7,3100.0,61.2,57.0,2.0,14.4775390625,53.0,-1,-0.401216,1.000,1038.357,0
1771406990.093,185.1,14.8,3100.0,61.2,57.0,2.0,14.4775390625,53.0,1,0.295788,1.000,489.742,0
1771406990.631,185.6,7.1,3100.0,61.2,57.0,0.0,14.4775390625,53.0,1,0.057676,1.000,123.723,0
1771406991.494,186.5,27.1,3100.0,61.2,57.0,0.0,14.4775390625,52.0,1,0.330226,1.000,58.013,0
1771406993.331,188.3,9.8,3100.0,61.1,57.0,0.0,14.4775390625,52.0,-1,-0.052952,1.000,981.981,0
1771406993.785,188.8,13.0,3100.0,61.0,57.0,0.0,14.4775390625,52.0,1,0.280417,1.000,315.245,0
1771406994.592,189.6,2.6,3100.0,61.0,57.0,2.0,14.4775390625,52.0,1,0.395718,1.000,46.029,0
1771406995.486,190.5,8.1,3100.0,61.0,57.0,0.0,14.4775390625,51.0,1,0.410584,1.000,47.582,0
1771406996.416,191.4,8.2,3100.0,60.9,57.0,2.0,14.4775390625,51.0,1,0.445083,1.000,3.820,0
1771406997.386,192.4,6.9,3100.0,60.6,54.0,2.0,14.4775390625,51.0,1,0.217951,1.000,19.286,0
1771406999.449,194.4,14.5,3100.0,60.6,54.0,0.0,14.4775390625,51.0,-1,-0.406771,1.000,1072.251,0
1771407000.129,195.1,15.2,3100.0,60.6,54.0,0.0,14.4775390625,51.0,1,0.220535,1.000,706.140,0
1771407000.495,195.5,7.1,3100.0,60.6,54.0,0.0,14.4775390625,51.0,-1,-0.126930,1.000,112.938,0
1771407001.575,196.5,9.8,3100.0,60.5,54.0,1.0,14.4775390625,50.0,1,0.344181,1.000,47.730,0
1771407002.460,197.4,9.2,3100.0,60.5,54.0,0.0,14.4775390625,50.0,-1,-0.091281,1.000,78.257,0
1771407005.122,200.1,10.3,3100.0,60.5,54.0,3.0,14.4775390625,50.0,-1,-0.128805,1.000,1428.125,0
1771407005.553,200.5,12.4,3100.0,60.5,54.0,0.0,14.4775390625,50.0,-1,-0.239744,1.000,1174.557,0
1771407005.932,200.9,10.8,3100.0,60.5,54.0,0.0,14.4775390625,50.0,1,0.188245,1.000,536.441,0
1771407006.349,201.3,13.2,3100.0,60.5,54.0,0.0,14.4775390625,50.0,-1,-0.131597,1.000,6.189,0
1771407007.603,202.6,6.4,3100.0,60.5,54.0,2.0,14.4775390625,49.0,-1,-0.067919,1.000,10.330,0
1771407009.614,204.6,8.3,3100.0,60.5,54.0,0.0,14.4775390625,49.0,-1,-0.313755,1.000,1142.143,0
1771407010.235,205.2,12.8,3100.0,60.5,54.0,0.0,14.4775390625,49.0,-1,-0.100060,1.000,597.720,0
1771407010.952,205.9,16.3,3100.0,60.6,51.0,0.0,14.453125,49.0,-1,-0.345490,1.000,426.933,0
1771407011.557,206.5,7.0,3100.0,60.6,51.0,0.0,14.453125,49.0,1,0.233241,1.000,29.175,0
1771407012.367,207.3,15.8,3100.0,60.4,51.0,0.0,14.453125,49.0,1,0.119177,1.000,35.319,0
1771407013.370,208.3,3.7,3100.0,60.4,51.0,0.0,14.35546875,49.0,-1,-0.294770,1.000,54.216,0
1771407015.294,210.3,19.6,3100.0,60.4,51.0,0.0,14.4775390625,49.0,-1,-0.278419,1.000,974.141,0
1771407015.770,210.7,28.3,3100.0,60.4,51.0,0.0,14.4775390625,48.0,-1,-0.409490,1.000,276.471,0
1771407016.402,211.4,8.0,3100.0,60.4,51.0,0.0,14.4775390625,48.0,-1,-0.288693,1.000,5.472,0
1771407017.377,212.3,8.7,3100.0,60.4,51.0,0.0,14.6484375,48.0,1,0.281514,1.000,8.697,0
